subID,mean_gap_friends,mean_gap_strangers,median_gap_friends,median_gap_strangers
4,235.64500670883652,103.03678968872664,207.0,183.0
5,430.1266598318455,265.6229653517891,349.0,280.45
8,269.98587798755864,73.8720069418973,217.5,145.05
11,429.0035119865629,207.63546904263248,339.5,241.95
21,116.01679122985256,124.32978931980351,142.5,172.7
23,314.39203754100726,142.47447121294508,189.83333333333334,182.72222222222223
25,258.36849396300516,90.8424217178605,188.33333333333334,192.4
29,253.06430681246854,119.88235268657073,190.0,201.2
30,292.215191435196,46.06424456377682,259.8333333333333,134.9
44,615.5828194300587,292.70945407537215,434.3333333333333,256.0
48,404.0080927269879,304.0973136353124,360.0,306.15
49,216.74473995119706,150.59425484045636,202.33333333333334,209.75
50,512.3523974651212,329.3356319356465,388.3333333333333,334.25
63,333.57250905040377,279.7891465078349,255.5,301.22222222222223
66,376.3772581335232,201.761460815747,299.0,262.1
67,174.45098872584109,-18.548294158791133,156.16666666666666,84.6
68,-46.64617628929525,90.42904651860651,68.0,169.55555555555554
85,496.17562085613537,318.2838005451281,337.0,257.2
86,565.5809238665526,302.0484399345009,367.5,258.5
101,411.24531885842794,421.89614825666837,292.1666666666667,330.72222222222223
107,306.11481504431714,107.49215881707292,155.5,121.95
110,390.80645630664344,293.5510724119473,276.3333333333333,247.35
