num_bins,bin_size,beta_self,p-val_self,beta_partner,p-val_partner
3.0,200.0,-0.08915374602258104,0.06034528908398769,-0.0695856440503104,0.1312091328391371
4.0,150.0,-0.09266331886642798,0.023810232986952454,-0.053445674320122614,0.15773145846925601
5.0,120.0,-0.0645715392131675,0.05432489935060285,-0.06365352402237143,0.10185461937732092
6.0,100.0,-0.060242237435454545,0.05543565298449041,-0.054984978607784694,0.08831174009737879
10.0,60.0,-0.02568868762699865,0.16936973972528166,-0.055223720317851,0.011455103924218647
12.0,50.0,-0.03300066179978981,0.05285981561435866,-0.07287158169758819,0.00023510968475107878
15.0,40.0,-0.03231366426748308,0.032949265578964944,-0.07050909599902816,0.00026452771829245326
20.0,30.0,-0.035211919155111536,0.006474420529433657,-0.05597825742796416,0.0005150692448244998
24.0,25.0,-0.03493443680150786,0.0064729579717064615,-0.05697688518601405,0.00014691253617796053
30.0,20.0,-0.03795799976388834,0.0008131393411087849,-0.04762295851076914,0.0002362039512072207
40.0,15.0,-0.03610133604979523,0.0008737709867154036,-0.0378175421299799,0.0009417186568683984
60.0,10.0,-0.02756041666379131,0.007119868014073144,-0.03406872606262677,0.0031316912972637044
120.0,5.0,-0.028572750216998368,0.0038167405144304604,-0.03469669230885899,0.0043815370777804214
